iter	Passed	Remaining
0	14	7223
1	17	4299
2	20	3421
3	24	2986
4	27	2682
5	29	2387
6	31	2193
7	33	2085
8	37	2068
9	40	1981
10	43	1918
11	45	1865
12	51	1918
13	55	1916
14	57	1865
15	60	1816
16	62	1765
17	65	1757
18	68	1726
19	71	1712
20	73	1686
21	76	1661
22	79	1658
23	82	1641
24	85	1625
25	88	1621
26	91	1606
27	94	1588
28	96	1570
29	99	1560
30	101	1541
31	104	1534
32	122	1727
33	132	1815
34	136	1815
35	142	1831
36	149	1867
37	163	1993
38	166	1969
39	168	1942
40	171	1916
41	173	1891
42	176	1880
43	180	1866
44	184	1868
45	189	1870
46	192	1857
47	197	1860
48	202	1862
49	205	1846
50	207	1827
51	210	1809
52	214	1805
53	217	1797
54	219	1779
55	222	1766
56	224	1747
57	226	1729
58	229	1714
59	231	1700
60	235	1694
61	238	1683
62	241	1673
63	245	1670
64	247	1653
65	249	1639
66	251	1623
67	253	1612
68	255	1598
69	258	1590
70	262	1588
71	266	1585
72	270	1581
73	273	1572
74	275	1562
75	278	1554
76	281	1546
77	288	1558
78	290	1547
79	292	1535
80	296	1531
81	300	1533
82	304	1530
83	308	1525
84	311	1519
85	316	1525
86	320	1523
87	323	1513
88	326	1505
89	331	1509
90	335	1506
91	338	1500
92	340	1489
93	342	1481
94	345	1472
95	347	1463
96	349	1452
97	351	1443
98	354	1437
99	357	1430
100	359	1421
101	362	1413
102	364	1405
103	368	1402
104	371	1399
105	387	1441
106	390	1434
107	393	1427
108	399	1433
109	401	1424
110	405	1419
111	408	1416
112	412	1411
113	417	1413
114	420	1408
115	422	1399
116	425	1393
117	427	1385
118	429	1376
119	433	1371
120	436	1367
121	439	1362
122	442	1355
123	445	1349
124	448	1346
125	452	1341
126	454	1335
127	457	1330
128	460	1324
129	462	1317
130	465	1309
131	467	1303
132	470	1297
133	475	1297
134	478	1293
135	481	1287
136	484	1283
137	489	1282
138	493	1281
139	496	1277
140	503	1283
141	513	1293
142	517	1291
143	519	1284
144	523	1282
145	526	1276
146	528	1269
147	531	1264
148	534	1258
149	538	1255
150	541	1250
151	543	1245
152	547	1242
153	552	1240
154	559	1245
155	565	1246
156	569	1244
157	571	1238
158	574	1233
159	579	1230
160	583	1228
161	587	1226
162	591	1221
163	592	1214
164	595	1209
165	598	1204
166	602	1201
167	604	1194
168	606	1188
169	608	1181
170	611	1176
171	614	1171
172	616	1165
173	619	1160
174	621	1155
175	625	1151
176	629	1147
177	631	1142
178	633	1136
179	636	1131
180	640	1128
181	642	1123
182	645	1118
183	648	1113
184	652	1111
185	655	1106
186	658	1102
187	662	1099
188	664	1093
189	666	1087
190	668	1082
191	671	1077
192	674	1072
193	678	1069
194	683	1068
195	687	1066
196	691	1063
197	694	1058
198	697	1054
199	699	1049
200	702	1045
201	704	1039
202	706	1033
203	708	1028
204	710	1022
205	713	1018
206	715	1012
207	718	1008
208	720	1003
209	723	998
210	725	994
211	728	988
212	731	985
213	734	981
214	737	977
215	740	973
216	742	968
217	749	970
218	753	966
219	757	964
220	761	961
221	764	957
222	768	954
223	771	950
224	780	953
225	786	953
226	791	951
227	795	948
228	803	951
229	808	948
230	811	945
231	816	943
232	820	939
233	823	935
234	825	931
235	828	926
236	832	923
237	834	918
238	838	915
239	841	911
240	845	908
241	848	904
242	851	900
243	857	899
244	860	895
245	863	891
246	865	886
247	868	882
248	870	877
249	874	874
250	876	869
251	879	865
252	881	860
253	884	856
254	886	852
255	893	851
256	897	849
257	902	846
258	904	841
259	907	837
260	910	833
261	913	830
262	916	825
263	919	822
264	923	818
265	925	813
266	927	809
267	930	805
268	932	801
269	936	797
270	940	795
271	943	790
272	945	786
273	949	783
274	960	786
275	978	793
276	982	791
277	989	790
278	995	788
279	1011	794
280	1018	793
281	1027	794
282	1033	792
283	1036	788
284	1039	784
285	1047	783
286	1070	794
287	1074	791
288	1077	786
289	1080	782
290	1087	781
291	1092	778
292	1098	776
293	1105	774
294	1109	770
295	1111	766
296	1114	762
297	1117	757
298	1119	752
299	1121	747
300	1125	743
301	1127	739
302	1129	734
303	1131	729
304	1134	725
305	1136	720
306	1139	716
307	1143	712
308	1152	712
309	1155	707
310	1157	703
311	1160	699
312	1162	694
313	1165	690
314	1168	685
315	1172	682
316	1175	678
317	1180	675
318	1183	671
319	1185	667
320	1188	662
321	1190	658
322	1193	653
323	1195	649
324	1197	644
325	1199	640
326	1202	636
327	1204	631
328	1206	627
329	1209	622
330	1211	618
331	1214	614
332	1219	611
333	1223	607
334	1227	604
335	1230	600
336	1232	596
337	1237	593
338	1247	592
339	1250	588
340	1253	584
341	1257	580
342	1259	576
343	1262	572
344	1266	568
345	1269	565
346	1275	562
347	1280	559
348	1283	555
349	1286	551
350	1290	547
351	1294	544
352	1297	540
353	1301	536
354	1304	532
355	1306	528
356	1307	523
357	1310	519
358	1312	515
359	1317	512
360	1321	508
361	1327	506
362	1331	502
363	1336	499
364	1342	496
365	1347	493
366	1349	489
367	1352	485
368	1357	481
369	1359	477
370	1368	475
371	1371	472
372	1376	468
373	1380	464
374	1383	461
375	1386	457
376	1390	453
377	1394	449
378	1396	445
379	1398	441
380	1400	437
381	1404	433
382	1407	429
383	1410	425
384	1412	421
385	1414	417
386	1416	413
387	1419	409
388	1422	405
389	1425	402
390	1429	398
391	1432	394
392	1435	390
393	1439	387
394	1442	383
395	1445	379
396	1448	375
397	1451	371
398	1453	367
399	1456	364
400	1458	360
401	1461	356
402	1463	352
403	1465	348
404	1469	344
405	1471	340
406	1473	336
407	1476	332
408	1478	328
409	1480	324
410	1482	321
411	1484	317
412	1487	313
413	1491	309
414	1493	305
415	1495	302
416	1497	298
417	1499	294
418	1501	290
419	1504	286
420	1505	282
421	1508	278
422	1510	274
423	1513	271
424	1515	267
425	1518	263
426	1521	260
427	1523	256
428	1526	252
429	1529	248
430	1531	245
431	1533	241
432	1535	237
433	1538	233
434	1540	230
435	1542	226
436	1545	222
437	1547	219
438	1549	215
439	1552	211
440	1555	208
441	1558	204
442	1560	200
443	1562	197
444	1565	193
445	1567	189
446	1569	186
447	1571	182
448	1576	179
449	1578	175
450	1580	171
451	1582	168
452	1585	164
453	1587	160
454	1590	157
455	1592	153
456	1595	150
457	1599	146
458	1603	143
459	1606	139
460	1608	136
461	1610	132
462	1613	128
463	1615	125
464	1619	121
465	1621	118
466	1623	114
467	1625	111
468	1628	107
469	1634	104
470	1641	101
471	1644	97
472	1646	94
473	1649	90
474	1651	86
475	1653	83
476	1655	79
477	1658	76
478	1661	72
479	1664	69
480	1667	65
481	1669	62
482	1671	58
483	1674	55
484	1676	51
485	1678	48
486	1687	45
487	1689	41
488	1691	38
489	1694	34
490	1697	31
491	1700	27
492	1703	24
493	1706	20
494	1708	17
495	1711	13
496	1714	10
497	1717	6
498	1720	3
499	1724	0
